#{"t_start": 1664969536.207807, "env_id": null}
r,l,t
-19.0,19,7.883212
-51.0,51,7.886318
-27.0,27,7.956458
-10.0,10,7.990937
-51.0,51,8.002635
-9.0,9,8.038812
-51.0,51,8.046163
-51.0,51,8.049725
-51.0,51,8.144884
-45.0,45,8.16895
-51.0,51,8.17835
-51.0,51,8.185869
-7.0,7,8.194426
-32.0,32,8.241346
-27.0,27,8.278559
-51.0,51,8.340508
-51.0,51,8.345124
-43.0,43,8.364487
-11.0,11,8.364542
-51.0,51,8.40905
-3.0,3,8.415799
-27.0,27,8.424586
-51.0,51,8.457334
-47.0,47,8.473239
-51.0,51,8.558826
-51.0,51,8.567917
-51.0,51,8.60238
-51.0,51,8.618368
-27.0,27,8.629393
-51.0,51,8.709548
-33.0,33,8.715892
-31.0,31,8.719154
-4.0,4,8.722057
-6.0,6,8.737983
-7.0,7,8.744224
-51.0,51,8.75462
-10.0,10,8.776441
-23.0,23,8.791463
-32.0,32,8.795881
-32.0,32,8.815118
-9.0,9,8.841471
-30.0,30,8.871097
-6.0,6,8.884213
-20.0,20,8.893128
-51.0,51,8.902216
-51.0,51,8.922021
-14.0,14,8.924404
-25.0,25,8.939786
-21.0,21,8.948716
-10.0,10,8.961649
-6.0,6,8.9617
-6.0,6,8.974866
-2.0,2,8.979182
-8.0,8,8.979233
-27.0,27,8.98151
-51.0,51,9.03721
-44.0,44,9.077223
-51.0,51,9.09266
-51.0,51,9.094963
-19.0,19,9.13694
-20.0,20,9.136996
-51.0,51,9.150506
-51.0,51,9.190326
-34.0,34,9.212432
-12.0,12,9.238865
-4.0,4,9.247737
-51.0,51,9.25017
-51.0,51,9.263113
-51.0,51,9.302418
-27.0,27,9.321905
-51.0,51,9.358827
-51.0,51,9.361229
-51.0,51,9.415468
-51.0,51,9.445625
-11.0,11,9.452072
-6.0,6,9.465021
-39.0,39,9.465077
-51.0,51,9.505279
-28.0,28,9.559051
-23.0,23,9.577932
-51.0,51,9.613121
-50.0,50,9.619832
-2.0,2,9.624259
-28.0,28,9.633018
-30.0,30,9.679483
-51.0,51,9.697126
-35.0,35,9.710377
-8.0,8,9.714853
-11.0,11,9.734869
-51.0,51,9.737274
-9.0,9,9.755248
-22.0,22,9.764229
-2.0,2,9.768776
-51.0,51,9.793448
-51.0,51,9.853679
-5.0,5,9.865267
-51.0,51,9.872417
-51.0,51,9.886198
-16.0,16,9.908781
-51.0,51,9.91127
-23.0,23,9.964146
-51.0,51,9.982814
-51.0,51,10.003583
-9.0,9,10.024513
-51.0,51,10.026992
-34.0,34,10.042534
-10.0,10,10.049002
-31.0,31,10.093935
-51.0,51,10.100255
-51.0,51,10.18457
-30.0,30,10.191294
-51.0,51,10.194633
-3.0,3,10.201125
-13.0,13,10.226146
-51.0,51,10.247129
-51.0,51,10.321635
-51.0,51,10.341026
-11.0,11,10.35902
-3.0,3,10.36724
-51.0,51,10.372868
-51.0,51,10.397318
-4.0,4,10.408179
-18.0,18,10.416442
-3.0,3,10.416501
-32.0,32,10.436413
-25.0,25,10.452936
-4.0,4,10.469599
-14.0,14,10.526743
-51.0,51,10.625627
-51.0,51,10.62568
-51.0,51,10.646485
-38.0,38,10.684102
-23.0,23,10.756939
-41.0,41,10.768617
-51.0,51,10.798323
-51.0,51,10.813884
-27.0,27,10.906973
-51.0,51,10.922248
-51.0,51,10.934698
-12.0,12,10.944038
-51.0,51,10.965953
-18.0,18,10.991057
-17.0,17,10.997471
-33.0,33,11.070349
-27.0,27,11.076633
-3.0,3,11.079892
-51.0,51,11.084661
-38.0,38,11.136011
-8.0,8,11.164738
-33.0,33,11.218058
-7.0,7,11.242212
-5.0,5,11.257876
-51.0,51,11.280291
-51.0,51,11.285109
-51.0,51,11.362838
-3.0,3,11.372447
-39.0,39,11.400624
-11.0,11,11.445731
-51.0,51,11.470966
-51.0,51,11.4744
-14.0,14,11.527744
-4.0,4,11.546034
-51.0,51,11.568309
-33.0,33,11.581076
-51.0,51,11.683375
-51.0,51,11.74306
-51.0,51,11.761348
-51.0,51,11.77057
-51.0,51,11.878448
-42.0,42,11.926778
-51.0,51,11.936217
-3.0,3,11.94523
-51.0,51,11.948524
-35.0,35,11.984702
-16.0,16,11.993924
-27.0,27,12.084674
-51.0,51,12.10128
-3.0,3,12.110645
-51.0,51,12.123277
-18.0,18,12.142035
-51.0,51,12.170429
-30.0,30,12.204539
-51.0,51,12.303496
-51.0,51,12.331324
-35.0,35,12.347987
-51.0,51,12.363732
-16.0,16,12.413669
-51.0,51,12.477688
-51.0,51,12.496674
-8.0,8,12.502957
-51.0,51,12.509511
-13.0,13,12.538033
-51.0,51,12.57588
-15.0,15,12.622589
-51.0,51,12.663449
-42.0,42,12.670052
-51.0,51,12.670101
-7.0,7,12.685843
-5.0,5,12.701602
-27.0,27,12.707833
-4.0,4,12.714059
-24.0,24,12.783466
-51.0,51,12.830247
-51.0,51,12.830316
-51.0,51,12.87435
-41.0,41,12.912355
-51.0,51,13.014167
-51.0,51,13.014237
-2.0,2,13.02347
-8.0,8,13.051825
-34.0,34,13.056574
-9.0,9,13.065829
-51.0,51,13.079752
-40.0,40,13.239
-41.0,41,13.257845
-8.0,8,13.27076
-51.0,51,13.2901
-51.0,51,13.312858
-23.0,23,13.392172
-11.0,11,15.714542
-51.0,51,15.748271
-51.0,51,15.765424
-18.0,18,15.785596
-51.0,51,15.798858
-10.0,10,15.801921
-16.0,16,15.843139
-5.0,5,15.85663
-47.0,47,15.889152
-34.0,34,15.889215
-4.0,4,15.899804
-51.0,51,15.92386
-17.0,17,15.953118
-12.0,12,15.969772
-9.0,9,15.989871
-3.0,3,16.001554
-8.0,8,16.001612
-33.0,33,16.001628
-50.0,50,16.022063
-8.0,8,16.03411
-14.0,14,16.079228
-31.0,31,16.148317
-10.0,10,16.177181
-51.0,51,16.183489
-51.0,51,16.183536
-51.0,51,16.26042
-22.0,22,16.273396
-22.0,22,16.338725
-51.0,51,16.353708
-51.0,51,16.359791
-51.0,51,16.417515
-51.0,51,16.515576
-51.0,51,16.538308
-51.0,51,16.547262
-12.0,12,16.569345
-39.0,39,16.577924
-27.0,27,16.686053
-51.0,51,16.75658
-51.0,51,16.765212
-51.0,51,16.794407
-23.0,23,16.873254
-51.0,51,16.879027
-51.0,51,16.929268
-51.0,51,16.938396
-16.0,16,16.999444
-43.0,43,17.041091
-51.0,51,17.058948
-51.0,51,17.121186
-2.0,2,17.12718
-41.0,41,17.133325
-39.0,39,17.190288
-51.0,51,17.217041
-13.0,13,17.238166
-2.0,2,17.244218
-14.0,14,17.259374
-51.0,51,17.304421
-51.0,51,17.310549
-30.0,30,17.3501
-17.0,17,17.356326
-51.0,51,17.399717
-18.0,18,17.40602
-51.0,51,17.469513
-48.0,48,17.507425
-51.0,51,17.562198
-51.0,51,17.572069
-51.0,51,17.66373
-51.0,51,17.701589
-15.0,15,17.746595
-51.0,51,17.753232
-51.0,51,17.759696
-36.0,36,17.775322
-13.0,13,17.787982
-37.0,37,17.878304
-30.0,30,17.884351
-51.0,51,17.914456
-49.0,49,17.937533
-3.0,3,17.951118
-51.0,51,18.059421
-51.0,51,18.065853
-41.0,41,18.091067
-51.0,51,18.099444
-38.0,38,18.181621
-51.0,51,18.229047
-51.0,51,18.254483
-24.0,24,18.257687
-51.0,51,18.261127
-3.0,3,18.267547
-8.0,8,18.279945
-18.0,18,18.32374
-51.0,51,18.390141
-51.0,51,18.421536
-51.0,51,18.440705
-15.0,15,18.469253
-51.0,51,18.485058
-3.0,3,18.494617
-51.0,51,18.553889
-39.0,39,18.567924
-11.0,11,18.58937
-3.0,3,18.598761
-51.0,51,18.63339
-46.0,46,18.642872
-3.0,3,18.652317
-26.0,26,18.679881
-18.0,18,18.714446
-51.0,51,18.742536
-23.0,23,18.77637
-11.0,11,18.801448
-7.0,7,18.841232
-13.0,13,18.854586
-51.0,51,18.854635
-36.0,36,18.895076
-31.0,31,18.982028
-34.0,34,19.030182
-51.0,51,19.045479
-19.0,19,19.051552
-8.0,8,19.054955
-51.0,51,19.055003
-2.0,2,19.061119
-20.0,20,19.120648
-29.0,29,19.142209
-35.0,35,19.176542
-14.0,14,19.185634
-51.0,51,19.219257
-28.0,28,19.275436
-18.0,18,19.278633
-51.0,51,19.282085
-7.0,7,19.300737
-51.0,51,19.338247
-37.0,37,19.394605
