#{"t_start": 1664975742.4017158, "env_id": null}
r,l,t
-51.0,51,10.831025
-51.0,51,10.884148
-51.0,51,11.008879
-51.0,51,11.017635
-2.0,2,11.026034
-51.0,51,11.055573
-51.0,51,11.09656
-51.0,51,11.18568
-51.0,51,11.197886
-51.0,51,11.219015
-15.0,15,11.230917
-51.0,51,11.25469
-16.0,16,11.271957
-51.0,51,11.376927
-51.0,51,11.410041
-51.0,51,11.433894
-51.0,51,11.445849
-51.0,51,11.547306
-51.0,51,11.593372
-51.0,51,11.617157
-51.0,51,11.629227
-51.0,51,11.755069
-51.0,51,11.796799
-51.0,51,11.820073
-51.0,51,11.831497
-51.0,51,11.94726
-51.0,51,11.978531
-51.0,51,12.001643
-51.0,51,12.013227
-51.0,51,12.094812
-51.0,51,12.128056
-51.0,51,12.152022
-51.0,51,12.163891
-51.0,51,12.24969
-37.0,37,12.277372
-51.0,51,12.28367
-51.0,51,12.308692
-51.0,51,12.450422
-51.0,51,12.489669
-51.0,51,12.498321
-51.0,51,12.521188
-51.0,51,12.617488
-51.0,51,12.650036
-51.0,51,12.659164
-3.0,3,12.672102
-51.0,51,12.69385
-51.0,51,12.813362
-51.0,51,12.841958
-51.0,51,12.856717
-51.0,51,12.871421
-51.0,51,12.965765
-51.0,51,12.992588
-51.0,51,13.007293
-51.0,51,13.02246
-37.0,37,13.110505
-51.0,51,13.125928
-51.0,51,13.168542
-51.0,51,13.184008
-30.0,30,13.217966
-51.0,51,13.267067
-51.0,51,13.325959
-51.0,51,13.341242
-51.0,51,13.374947
-51.0,51,13.423582
-51.0,51,13.481256
-51.0,51,13.496763
-30.0,30,13.515028
-51.0,51,13.530653
-51.0,51,13.63754
-51.0,51,13.652756
-51.0,51,15.977116
-51.0,51,15.989283
-30.0,30,16.052848
-51.0,51,16.079445
-51.0,51,16.092771
-51.0,51,16.122381
-51.0,51,16.192441
-51.0,51,16.232614
-51.0,51,16.252876
-51.0,51,16.297034
-51.0,51,16.398443
-51.0,51,16.437603
-51.0,51,16.45713
-51.0,51,16.501598
-8.0,8,16.533308
-51.0,51,16.586006
-51.0,51,16.613378
-51.0,51,16.627545
-51.0,51,16.682564
-51.0,51,16.731283
-51.0,51,16.760619
-51.0,51,16.77574
-51.0,51,16.833181
-51.0,51,16.883891
-51.0,51,16.913856
-51.0,51,16.928864
-51.0,51,16.987312
-32.0,32,17.026785
-51.0,51,17.039473
-51.0,51,17.069848
-51.0,51,17.143749
-51.0,51,17.183436
-51.0,51,17.195816
-51.0,51,17.226854
-38.0,38,17.31554
-51.0,51,17.315612
-51.0,51,17.367246
-51.0,51,17.39842
-51.0,51,17.479667
-51.0,51,17.479725
-51.0,51,17.554367
-51.0,51,17.585322
-51.0,51,17.687621
-51.0,51,17.687675
-51.0,51,17.762233
-51.0,51,17.796555
-51.0,51,17.86809
-51.0,51,17.868144
-51.0,51,17.918658
-51.0,51,17.958842
-51.0,51,18.05532
-51.0,51,18.055389
