#{"t_start": 1658417775.9753768, "env_id": null}
r,l,t
9.0,199,39.235888
12.0,199,39.235962
9.0,199,39.235974
11.0,199,39.235983
10.0,199,39.864504
11.0,199,39.864576
10.0,199,39.864591
8.0,199,39.8646
11.0,199,40.433898
9.0,199,40.433977
9.0,199,40.43399
11.0,199,40.433999
11.0,199,40.965024
12.0,199,40.965086
10.0,199,40.965098
8.0,199,40.965107
10.0,199,41.49038
8.0,199,41.490441
9.0,199,41.490453
8.0,199,41.490462
10.0,199,42.028202
9.0,199,42.028275
9.0,199,42.028288
10.0,199,42.028296
9.0,199,42.579741
9.0,199,42.579806
8.0,199,42.579818
10.0,199,42.579827
8.0,199,43.105409
8.0,199,43.105468
8.0,199,43.105479
10.0,199,43.105488
10.0,199,43.660107
9.0,199,43.660176
7.0,199,43.660188
9.0,199,43.660197
6.0,199,44.209044
7.0,199,44.209117
10.0,199,44.209129
9.0,199,44.209138
9.0,199,44.799351
7.0,199,44.799433
7.0,199,44.799461
8.0,199,44.799559
8.0,199,45.339442
9.0,199,45.339513
5.0,199,45.339527
7.0,199,45.339536
7.0,199,45.910461
8.0,199,45.910523
10.0,199,45.910535
9.0,199,45.910544
5.0,199,46.489029
8.0,199,46.489095
8.0,199,46.489107
7.0,199,46.489116
8.0,199,47.088605
8.0,199,47.088674
8.0,199,47.088687
6.0,199,47.088696
7.0,199,47.645835
6.0,199,47.645899
9.0,199,47.64591
7.0,199,47.645919
7.0,199,48.17707
7.0,199,48.177144
6.0,199,48.177159
8.0,199,48.177167
5.0,199,48.686832
6.0,199,48.686901
6.0,199,48.686912
8.0,199,48.686921
7.0,199,49.212489
5.0,199,49.212563
6.0,199,49.212578
7.0,199,49.212587
4.0,199,49.727268
5.0,199,49.727334
7.0,199,49.727346
8.0,199,49.727354
5.0,199,50.232405
6.0,199,50.232473
7.0,199,50.232484
5.0,199,50.232493
6.0,199,50.744201
7.0,199,50.744266
6.0,199,50.744279
5.0,199,50.744288
6.0,199,51.259987
7.0,199,51.260048
6.0,199,51.26006
7.0,199,51.260069
5.0,199,51.791402
5.0,199,51.791471
4.0,199,51.791482
5.0,199,51.791491
3.0,199,52.322474
4.0,199,52.322545
4.0,199,52.322556
4.0,199,52.322565
3.0,199,52.870317
5.0,199,52.870395
3.0,199,52.870407
3.0,199,52.870415
3.0,199,53.39583
5.0,199,53.395896
4.0,199,53.395908
5.0,199,53.395917
5.0,199,54.019001
4.0,199,54.019079
4.0,199,54.019091
4.0,199,54.019099
6.0,199,54.558067
4.0,199,54.558132
3.0,199,54.558143
3.0,199,54.558152
3.0,199,55.095549
3.0,199,55.095618
5.0,199,55.09563
4.0,199,55.095639
2.0,199,55.614112
2.0,199,55.614185
5.0,199,55.614197
3.0,199,55.614206
4.0,199,56.125699
4.0,199,56.125766
4.0,199,56.125777
3.0,199,56.125786
2.0,199,56.640674
5.0,199,56.64074
2.0,199,56.640751
5.0,199,56.640763
